,Timestamp,Train ID,Scheduled,Actual time,Delay,Station,Dep/Arr,Category,Delay at Dep.,Trip time,Sched. trip time,12h Coldest Arrival,12h Rain max Arrival,12h Rain total Arrival,12h Snow depth Arrival,12h Coldest Dep,12h Rain max Dep,12h Rain total Dep,12h Snow depth Dep
508,2018-02-11 11:57:07,142,11:54:00,11:57:07,187,HKI,ARRIVAL,Long-distance,-19,03:17:07,03:17:00,-5.9,0.1,0.5,17.0,-8.1,0.1,0.6,58.0
509,2018-02-11 15:01:11,144,14:54:00,15:01:11,431,HKI,ARRIVAL,Long-distance,178,03:32:34,03:31:00,-5.0,0.1,0.6,17.0,-7.9,0.1,0.7,58.0
510,2018-02-11 17:55:41,146,17:54:00,17:55:41,101,HKI,ARRIVAL,Long-distance,7,03:30:47,03:22:00,-4.6,0.1,0.6,17.0,-7.8,0.1,0.7,58.0
511,2018-02-11 20:56:37,148,20:54:00,20:56:37,157,HKI,ARRIVAL,Long-distance,84,03:37:13,03:36:00,-2.9,0.1,0.4,17.0,-7.3,0.1,0.4,58.0
512,2018-02-11 22:40:40,152,22:35:00,22:40:40,340,HKI,ARRIVAL,Long-distance,563,03:05:17,03:09:00,-2.9,0.1,0.30000000000000004,17.0,-7.0,0.1,0.4,58.0
513,2018-02-12 16:40:05,86,16:35:00,16:40:05,305,HKI,ARRIVAL,Long-distance,4,03:41:30,03:34:00,-3.2,0.7,2.3,19.0,-5.0,0.7,3.0000000000000004,59.0
514,2018-02-12 08:58:33,140,08:54:00,08:58:33,273,HKI,ARRIVAL,Long-distance,4,03:38:29,03:34:00,-3.2,0.0,0.0,17.0,-6.0,0.2,0.8,58.0
515,2018-02-12 11:56:32,142,11:54:00,11:56:32,152,HKI,ARRIVAL,Long-distance,440,03:34:12,03:39:00,-3.2,0.1,0.1,17.0,-5.9,0.2,0.8,59.0
516,2018-02-12 14:54:19,144,14:54:00,14:54:19,19,HKI,ARRIVAL,Long-distance,79,03:40:00,03:41:00,-3.2,0.3,0.9000000000000001,17.0,-5.3,0.3,1.7000000000000004,59.0
517,2018-02-12 17:58:28,146,17:54:00,17:58:28,268,HKI,ARRIVAL,Long-distance,142,03:22:01,03:17:00,-3.1,0.7,2.9,19.0,-5.0,0.7,3.5000000000000004,59.0
518,2018-02-12 20:54:45,148,20:54:00,20:54:45,45,HKI,ARRIVAL,Long-distance,4,03:33:06,03:31:00,-2.3,0.7,4.2,20.0,-4.5,0.7,4.3,59.0
519,2018-02-12 08:02:00,150,07:54:00,08:02:00,480,HKI,ARRIVAL,Long-distance,30,03:36:41,03:36:00,-3.2,0.0,0.0,17.0,-6.0,0.2,0.8,58.0
520,2018-02-13 16:36:13,86,16:35:00,16:36:13,73,HKI,ARRIVAL,Long-distance,-7,03:37:43,03:34:00,-0.2,0.0,0.0,22.0,-2.7,0.1,0.1,59.0
521,2018-02-13 09:09:43,140,08:54:00,09:09:43,943,HKI,ARRIVAL,Long-distance,129,03:47:34,03:34:00,-1.2,0.5,1.4000000000000001,22.0,-3.9,0.5,2.4000000000000004,59.0
522,2018-02-13 12:04:43,142,11:54:00,12:04:43,643,HKI,ARRIVAL,Long-distance,-8,03:49:51,03:39:00,-0.5,0.1,0.1,22.0,-3.2,0.2,0.7,59.0
523,2018-02-13 15:05:12,144,14:54:00,15:05:12,672,HKI,ARRIVAL,Long-distance,271,03:47:41,03:41:00,-0.3,0.0,0.0,22.0,-2.8,0.1,0.1,59.0
524,2018-02-13 17:54:15,146,17:54:00,17:54:15,15,HKI,ARRIVAL,Long-distance,8,03:18:20,03:17:00,-0.2,0.0,0.0,22.0,-2.6,0.1,0.1,59.0
525,2018-02-13 20:54:14,148,20:54:00,20:54:14,14,HKI,ARRIVAL,Long-distance,-9,03:31:07,03:31:00,0.4,0.0,0.0,22.0,-1.9,0.1,0.1,59.0
526,2018-02-13 07:58:21,150,07:54:00,07:58:21,261,HKI,ARRIVAL,Long-distance,38,03:36:23,03:36:00,-1.3,0.5,2.2,22.0,-4.1,0.5,3.3000000000000007,59.0
527,2018-02-14 16:42:28,86,16:35:00,16:42:28,448,HKI,ARRIVAL,Long-distance,14,03:39:22,03:34:00,-0.5,0.0,0.0,21.0,-1.1,0.0,0.0,58.0
528,2018-02-14 09:03:28,140,08:54:00,09:03:28,568,HKI,ARRIVAL,Long-distance,-18,03:43:46,03:34:00,-0.5,0.0,0.0,21.0,-1.2,0.0,0.0,59.0
529,2018-02-14 11:55:23,142,11:54:00,11:55:23,83,HKI,ARRIVAL,Long-distance,38,03:39:45,03:39:00,-0.5,0.0,0.0,21.0,-1.2,0.0,0.0,58.0
530,2018-02-14 15:30:41,144,14:54:00,15:30:41,2201,HKI,ARRIVAL,Long-distance,19,04:17:22,03:41:00,-0.5,0.0,0.0,21.0,-1.2,0.0,0.0,58.0
531,2018-02-14 18:12:34,146,17:54:00,18:12:34,1114,HKI,ARRIVAL,Long-distance,-101,03:24:14,03:17:00,-0.5,0.0,0.0,21.0,-1.1,0.0,0.0,58.0
532,2018-02-14 20:55:48,148,20:54:00,20:55:48,108,HKI,ARRIVAL,Long-distance,-22,03:51:15,03:31:00,0.0,0.0,0.0,20.0,-1.0,0.0,0.0,58.0
533,2018-02-14 07:59:24,150,07:54:00,07:59:24,324,HKI,ARRIVAL,Long-distance,2,03:38:10,03:36:00,-0.5,0.0,0.0,21.0,-1.2,0.0,0.0,59.0
534,2018-02-15 16:37:03,86,16:35:00,16:37:03,123,HKI,ARRIVAL,Long-distance,4,03:43:47,03:34:00,-5.8,0.1,0.2,20.0,-5.8,0.1,0.2,57.0
535,2018-02-15 08:58:19,140,08:54:00,08:58:19,259,HKI,ARRIVAL,Long-distance,33,03:37:46,03:34:00,-2.4,0.1,0.2,20.0,-2.4,0.1,0.2,58.0
536,2018-02-15 11:55:38,142,11:54:00,11:55:38,98,HKI,ARRIVAL,Long-distance,-27,03:41:05,03:39:00,-3.5,0.1,0.2,20.0,-3.5,0.1,0.2,58.0
537,2018-02-15 15:39:26,144,14:54:00,15:39:26,2726,HKI,ARRIVAL,Long-distance,2567,03:43:39,03:41:00,-5.2,0.1,0.2,20.0,-5.2,0.1,0.2,57.0
538,2018-02-15 18:05:34,146,17:54:00,18:05:34,694,HKI,ARRIVAL,Long-distance,78,03:18:59,03:17:00,-5.8,0.1,0.2,20.0,-5.8,0.1,0.2,57.0
539,2018-02-15 20:57:54,148,20:54:00,20:57:54,234,HKI,ARRIVAL,Long-distance,12,03:41:16,03:31:00,-5.8,0.0,0.0,20.0,-5.8,0.0,0.0,57.0
540,2018-02-15 08:04:04,150,07:54:00,08:04:04,604,HKI,ARRIVAL,Long-distance,17,03:39:42,03:36:00,-2.4,0.1,0.2,20.0,-2.4,0.1,0.2,58.0
541,2018-02-16 16:39:41,86,16:35:00,16:39:41,281,HKI,ARRIVAL,Long-distance,120,03:34:30,03:34:00,-5.2,0.0,0.0,20.0,-12.3,0.1,0.1,57.0
542,2018-02-16 19:43:38,88,19:35:00,19:43:38,518,HKI,ARRIVAL,Long-distance,25,03:34:44,03:34:00,-4.4,0.0,0.0,20.0,-11.6,0.0,0.0,57.0
